run,m,k,d,n,b,lowest_real,highest_fake,distinguishable,distinguishability_ratio,euclidean_length_betas,abs_deviation,squared_deviation,max_normed_deviation,epsilon_droot_m,epsilon_droot_rootd,epsilon_droot_halfd,epsilon_dlinear_m,epsilon_dlinear_rootd,epsilon_dlinear_halfd
55,10,1000,1010,10,0.5,-0.06091418008646285,11.420372821629872,0,0.0053338171211970474,63.60182125788875,1438.9419173927886,4042.593944898247,11.420372821629872,0.9977781033498663,0.9974852949465626,0.9959299127830513,106.81444792941846,79.41240993859232,16.420476431761404
56,10,1000,1010,100,0.5,-0.004990148605350437,-2.191189674846251,0,0.002277369532466686,12.364336912099015,287.7198138709997,155.8728805539814,2.191189674846251,0.997769944326782,0.9974481183031095,0.9959560406829723,105.93590060931093,76.47859363300536,16.861379928051793
57,50,1,51,10,0.5,0.028700410719895382,0.11063277451450344,0,0.25942050939102945,1.8520066650423135,19.28612306217124,9.574691369451322,0.832738380618921,0.9233981341093546,0.9706180310057986,0.9514574688220805,0.8758077845603391,11.14387608827989,4.031146085438635
58,50,1,51,100,0.5,0.46948100419097316,-0.011187691723364559,1,41.96406334744649,3.5355386465444782,0.4270620409799046,0.005411412123769495,0.03051899580902684,0.9611852697662336,0.9626977935206715,0.9623930857354922,6.772244234168185,7.33768347550712,7.220169266271204
59,50,10,60,10,0.5,0.00830914243383339,-1.236823600702085,0,0.006718130563741419,6.684776382383226,41.07311979907116,46.9616453114212,2.3232025791565523,0.9431297503273766,0.9698045930068311,0.961515249888513,1.7882899026672594,9.53246999413905,5.695368772794661
60,50,10,60,100,0.5,0.4617098526909143,-0.02060441284676882,1,22.408299431998593,3.523440628313156,0.7710288187004527,0.015095764521199602,0.0402868356691688,0.9666962556170051,0.9684617122444006,0.9677219669691998,7.86236922479873,8.771999419997195,8.378904115702465
61,50,100,150,10,0.5,0.00383250270000683,-0.5248887699213257,0,0.00730155209946914,2.2719956561990156,38.17544870823346,16.018458720283036,0.765592977367928,0.9827676085313967,0.9874141095233685,0.9801711435207959,11.05901253456495,22.43833187953232,7.436663888911724
62,50,100,150,100,0.5,0.0025532199075747014,-0.6574482960324701,0,0.0038835295839729465,3.8498848571439725,30.113634559337427,9.708085490404125,0.8380506216631658,0.9831495064255675,0.9869608472286892,0.9807023428709327,11.722657792418373,20.944979477693295,8.066277929864674
63,50,1000,1050,10,0.5,-1.459651171755087e-4,-0.3985305517214822,0,3.662582869619445e-4,3.6366607943048113,115.57478175796645,25.76146248125366,0.6799871211925265,0.9973522575913581,0.9974198905680888,0.9963047876630101,64.89229340573385,69.68113422489564,21.52868255644917
64,50,1000,1050,100,0.5,-0.001693161369851227,-0.4879614436011997,0,0.0034698671217863906,4.051498829559823,119.7136821937192,26.123412568156027,0.6649601076735745,0.9973780174813408,0.9974464752086192,0.9962786890317026,66.67620957092547,71.65875347863934,20.944593741172323
65,1,1,2,10,1,0.9579332540771368,0.03379037623122072,1,28.349292340582213,0.9585290338809043,0.07585712215408391,0.002911400638386173,0.04206674592286319,0.9996891735204845,0.18775602299953545,0.9996891735204845,1.9987568873081387,0.07050464834520416,1.9987568873081387
66,1,1,2,100,1,1.0067001604093806,9.59520191271357e-4,1,1049.1703765769748,1.0067006176849551,0.007659680600651952,4.581282850888857e-5,0.0067001604093805955,0.9999997728840042,0.030872861988576913,0.9999997728840042,1.99999909153612,0.0019062672147314344,1.99999909153612
67,1,10,11,10,1,0.909478206237119,-0.1560135279126783,1,5.829482983976615,0.940566139235093,0.6783541052660457,0.06570824980137055,0.1560135279126783,0.9969491239156806,0.789442322768227,0.785894674166317,10.636424012397665,0.8164266020350731,0.7769632681141074
68,1,10,11,100,1,0.996499440628474,-0.02217237975637752,1,44.94327860056823,0.9972678535409594,0.10398404795760481,0.0015442904492446263,0.02217237975637752,0.9999299283567359,0.6874329531480465,0.6708140759637611,10.991524301111957,0.17820771461336787,0.1361496478047576
69,1,100,101,10,1,0.16959630281132637,0.3239787039917131,0,0.5234797865469096,1.026812670329057,8.609091751091194,1.715151654325636,0.8304036971886737,0.9886438153872085,0.9823283653777035,0.9722530727393254,31.867399038499236,16.681939246478773,5.888885851083489
70,1,100,101,100,1,0.9943127363470111,-0.10304639520003617,1,9.64917534880116,1.0573634004026917,2.7673270288751257,0.12939188781712105,0.10304639520003617,0.9993914530703668,0.9721628937467566,0.9632375178420413,94.97736192949513,5.833973762488463,2.2982313964813823
71,1,1000,1001,10,1,-0.03151409215407921,-0.30898939397614555,0,0.10199085395310412,2.593155828819305,66.43620702488336,7.787485336847695,1.0315140921540793,0.9978770579075786,0.9972971223497571,0.9961392644616849,119.27489275141208,66.65374425289843,20.835935340983042
72,1,1000,1001,100,1,0.32526021080708534,4.561422054610505,0,0.07130675629507363,30.911324826400964,733.4027708309847,955.8594821016583,4.561422054610505,0.9980902492885408,0.9973882565157639,0.9959914920897031,147.71231910336525,73.03798022899787,17.96049642655156
73,5,1,6,10,1,0.9745558163686507,-0.020643954675052915,1,47.20780643576727,2.221545997494045,0.09581920604195199,0.001749975076394931,0.02544418363134926,0.8716829834579086,0.8739820484470026,0.8739820484470026,2.6321016556973538,2.674030302252892,2.674030302252892
74,5,1,6,100,1,0.9823405687597416,-0.004410956949740961,1,222.70463755431365,2.222314387892634,0.05098857623812951,6.157841598260577e-4,0.017659431240258372,0.8727893340828442,0.8747790726864529,0.8747790726864529,2.652209536449803,2.6886951243764314,2.6886951243764314
75,5,10,15,10,1,0.4355279413350192,-0.47702262326839207,0,0.9130131781820623,1.919653987218952,4.23433053541429,1.5654467871406,0.5644720586649807,0.9113553234464012,0.9246954651594292,0.9011427038111737,3.727410979617212,4.635239469348593,3.147710771716783
76,5,10,15,100,1,0.9853034171424502,-0.018131336708363335,1,54.342569055483104,2.2396439025654633,0.12494736851171649,0.0014679894548181778,0.018131336708363335,0.9467298441789052,0.9475866837723644,0.7025992646872824,6.599063020780713,6.689220234117725,0.07528468249763995
77,5,100,105,10,1,0.03653159369604634,0.9689710157980176,0,0.037701430796627015,3.532191891299851,31.167476879918972,15.493446174157906,0.9689710157980176,0.9858713992956497,0.9826458161832535,0.9735467995966787,23.56771096983004,16.70610802763287,6.290089271914096
